[AlexCraft1157845][Thu Oct 13 16:07:52 2022]: XD

[AlexCraft1157845][Thu Oct 13 16:08:08 2022]: XDDDDDDDDDDD

[AlexCraft1157845][Thu Oct 13 16:08:48 2022]: NI NI NIGA

[stefandk83      ][Thu Oct 13 16:08:56 2022]: why

[AlexCraft1157845][Thu Oct 13 16:09:06 2022]: not you

[hilla-rektaa    ][Thu Oct 13 16:09:06 2022]: bruuhhhh

[hilla-rektaa    ][Thu Oct 13 16:09:19 2022]: who are u saying here a ni****

[KankerModz      ][Thu Oct 13 16:09:31 2022]: please dont say nigger

[AlexCraft1157845][Thu Oct 13 16:09:40 2022]: bye im not time idiots

[hilla-rektaa    ][Thu Oct 13 16:09:44 2022]: btw alex im white

[hilla-rektaa    ][Thu Oct 13 16:09:53 2022]: finally

[IDKguess        ][Thu Oct 13 16:15:27 2022]: holy crap whats going on over there

[Haydosdaboss2005][Thu Oct 13 16:15:37 2022]: Mods

[normanclaw      ][Thu Oct 13 16:16:09 2022]: ******

[Jefferysolo     ][Thu Oct 13 16:16:11 2022]: **** off ****

[Chiken2290      ][Thu Oct 13 16:22:16 2022]: jocks **** off

[Mermann23       ][Thu Oct 13 16:22:30 2022]: free bro he doing time

[KankerModz      ][Thu Oct 13 16:25:55 2022]: nice kick bro

[KankerModz      ][Thu Oct 13 16:26:03 2022]: lel

[Mirqz_          ][Thu Oct 13 16:26:13 2022]: ;)

[llllllenni      ][Thu Oct 13 16:27:54 2022]: t

[lolt_02         ][Thu Oct 13 16:30:41 2022]: bro

[petitedon       ][Thu Oct 13 16:30:47 2022]: ?

[idlyyy          ][Thu Oct 13 16:30:53 2022]: panbodzio co ty kuwra

[lord_kono       ][Thu Oct 13 16:35:00 2022]: CAN SOMEONE INVITE ME TO CEO

[Jeronbmx        ][Thu Oct 13 18:08:55 2022]: for what?¿

[Jeronbmx        ][Thu Oct 13 18:09:02 2022]: :(

[Er_Palomo       ][Thu Oct 13 18:09:13 2022]: wait a moment.....

[Jeronbmx        ][Thu Oct 13 18:10:43 2022]: ALGUN ESPAÑOL¿?

[member379294    ][Thu Oct 13 18:11:09 2022]: leave the lobby idiot

[Jeronbmx        ][Thu Oct 13 18:11:49 2022]: me?

[member379294    ][Thu Oct 13 18:12:11 2022]: i'm talking to a***zio

[Jeronbmx        ][Thu Oct 13 18:12:35 2022]: a ok sorry

[Jeronbmx        ][Thu Oct 13 18:13:18 2022]: someone play with me?

[David100807     ][Thu Oct 13 18:13:19 2022]: du verdamter

[Jeronbmx        ][Thu Oct 13 18:13:22 2022]: please

[David100807     ][Thu Oct 13 18:13:43 2022]: *Schwarzer

[Jeronbmx        ][Thu Oct 13 18:14:17 2022]: someone play with me?

[Er_Palomo       ][Thu Oct 13 18:14:19 2022]: wtf is in the sky

[David100807     ][Thu Oct 13 18:14:21 2022]: fehörst in die gas kammer

[alan40rt        ][Thu Oct 13 18:14:36 2022]: here is modder, or somehing

